name,gpu,average,median,p90
METER original,True,0.004040650271494454,0.003963470458984375,0.0041867256164550785
EfficientVit,True,0.008367474290573633,0.008293628692626953,0.008429884910583496
Mobile + EfficientVitBlock,True,0.005349575561850078,0.0053863525390625,0.005477595329284668
Meta METER,True,0.0036253929138183594,0.003602743148803711,0.0037924528121948244
Meta EfficientVit,True,0.0030044360992011673,0.0029028654098510742,0.003306078910827639
METER original,False,0.017879719398801844,0.017827153205871582,0.018073129653930663
EfficientVit,False,0.01330545918292591,0.013714432716369629,0.013941478729248048
Mobile + EfficientVitBlock,False,0.013956460748608323,0.01442873477935791,0.015099453926086425
Meta METER,False,0.015370424005234277,0.015551328659057617,0.01576967239379883
Meta EfficientVit,False,0.011558418244761429,0.011995792388916016,0.01220235824584961
